Mode , f,  GenMass, EM_x, EM_{xr}, EM_y, EM_{yr}, EM_z, EM_{zr}
1,0.0551,10203440,0f,127679569920,17986986,0,0,0
2,0.1046,11093105,274487f,0,0,1744881057792,0,0
3,0.1389,5681536,0f,0,0,67,1769373,0
4,0.1399,8959294,0f,23,0,0,0,1819140161536
5,0.1985,8964031,0f,0,0,3621,14309729,0
6,0.2069,3637346,0f,0,0,5499,526503,0
7,0.2087,10985696,195336f,0,0,382785028096,0,0
8,0.2220,4139939,0f,30407174144,421744,0,0,1719
9,0.2366,2639421,86820f,0,0,5910227968,0,0
10,0.2393,2973318,0f,93,0,0,0,409779765248
11,0.2409,26354670,35352520f,0,0,391194050560,0,0
12,0.2746,9198672,0f,0,0,2827,2252064,0
13,0.2846,9471826,0f,65337528320,4582173,0,0,274
14,0.3173,9899119,0f,0,0,6375,87231,0
15,0.3364,11457903,282718f,0,0,273582538752,0,0
16,0.3375,2264082,0f,0,0,476,4920,0
17,0.3397,7397298,0f,170097852416,5367708,0,0,1705
18,0.3498,3996007,0f,2,0,0,0,6529902182400
19,0.3564,16061494,531250f,0,0,23547760640,0,0
20,0.3647,4400107,0f,133682503680,7438465,0,0,62
21,0.3945,1404379,1711f,0,0,5511279616,0,0
22,0.3945,1402337,0f,0,0,3,1984,0
23,0.3963,4267371,0f,3367197,11656,0,0,241
24,0.3981,1897648,599190f,0,0,759903485952,0,0
25,0.4010,1933020,0f,0,0,454,2202869,0
26,0.4040,2014669,0f,0,0,0,0,4741762560
27,0.4043,1984004,0f,1891207,16972,0,0,88
28,0.4052,3724483,0f,43,0,0,0,43453079552
29,0.4125,10086643,0f,0,0,150,928177,0
30,0.4140,5912600,0f,1110,0,0,0,63477407744
31,0.4153,2605586,38f,0,0,616872064,0,0
32,0.4191,2696586,0f,70667288576,2992679,0,0,594
33,0.4305,5681026,0f,2,0,0,0,763421720576
34,0.4927,10378214,23842f,0,0,110789165056,0,0
35,0.5076,2417339,0f,0,0,11,1681,0
36,0.5089,2507111,0f,734504448,156220,0,0,22111
37,0.5105,8483582,0f,24,0,0,0,299343544320
38,0.5646,8751912,0f,6,0,0,0,1493178880
39,0.5660,8947161,0f,162557344,16496,0,0,11
40,0.5822,10059702,0f,0,0,22,274102,0
