Girder height [m], Param. type, Eff. thickness [m], Solid area [m^2], I11 [m^4], I12 [m^4], I22 [m^4], It [m^4], Girder mass [kg/m], Total mass [kg/m], Girder i11 [kg m^2/m], Girder i12 [kg m^2/m], Girder i22 [kg m^2/m], i11 [kg m^2/m], i22 [kg m^2/m], Perimeter [m], Inner area [m^2]
5.5, 2020, 0.0225, 1.800142857142857, 10.083771428571428, 8.561285714285713e-11, 186.7042857142857, 34.59623076923077, 4860.4, 13257.030970387203, 27226.0, 0.0083958, 504103.0, 32196.048904517742, 1150055.9771790707, 73.61548869564197, 159.48751815995584
5.65, 2020, 0.0225, 1.801, 10.250257142857143, -2.095857142857143e-09, 186.7957142857143, 34.595, 4862.7, 13259.698928443417, 27676.0, 0.00806968, 504349.0, 32893.25194110291, 1151348.1581939592, 73.65290004047604, 159.5207365955862
5.8, 2020, 0.0225, 1.8036142857142856, 10.414085714285715, -4.676428571428571e-10, 187.47, 34.616076923076925, 4869.8, 13268.78290612304, 28118.0, 0.00673405, 506170.0, 33593.71541349826, 1154357.7538642203, 73.76920296214433, 159.69984569166348
5.95, 2020, 0.0225, 1.807257142857143, 10.569671428571429, -1.2909e-09, 188.4842857142857, 34.64723076923077, 4879.6, 13281.42979377078, 28538.0, 0.0032448, 508909.0, 34281.9336894975, 1158365.5636285185, 73.93112059860493, 159.9568563820842
6.1, 2020, 0.0225, 1.8115428571428571, 10.713071428571428, -1.5157142857142857e-09, 189.71857142857144, 34.679, 4891.2, 13296.263983297204, 28925.0, 0.00442223, 512239.0, 34945.84423487408, 1163004.771972639, 74.12182771740865, 160.24883182544193
6.25, 2020, 0.0225, 1.8162714285714285, 10.841114285714285, -1.7931428571428572e-09, 191.10142857142858, 34.70311538461539, 4903.9, 13312.258040939401, 29271.0, 0.00441967, 515975.0, 35576.59258118295, 1168062.4280880454, 74.33188395853651, 160.54621202925148
6.4, 2020, 0.0225, 1.8213, 10.951442857142856, -1.7595714285714286e-09, 192.59571428571428, 34.71411538461538, 4917.5, 13328.973717805233, 29569.0, 0.0041178, 520010.0, 36166.43029010853, 1173410.6745649462, 74.55557650069963, 160.8274884129724
6.55, 2020, 0.0225, 1.8265571428571428, 11.041442857142858, -1.4299999999999998e-09, 194.1742857142857, 34.706, 4931.7, 13345.930948792135, 29812.0, 0.0080071, 524272.0, 36707.66402337954, 1178961.2541356026, 74.78924311204861, 161.0764050992898
6.7, 2020, 0.0225, 1.8319857142857143, 11.108985714285714, -1.642e-09, 195.82, 34.67442307692308, 4946.4, 13362.889828925105, 29994.0, 0.00541167, 528715.0, 37193.62736837067, 1184655.067718746, 75.03042678357632, 161.28033177796095
6.85, 2020, 0.0225, 1.8375428571428571, 11.152014285714285, -4.4442857142857144e-10, 197.52142857142857, 34.61688461538461, 4961.4, 13379.539333524619, 30110.0, 0.00634164, 533309.0, 37618.66398977575, 1190451.2761435618, 75.27741712403643, 161.42924538763924
7.0, 2020, 0.0225, 1.8432, 11.168457142857143, -1.6697142857142858e-11, 199.27, 34.52961538461538, 4976.6, 13395.689860330836, 30155.0, 0.00307222, 538030.0, 37977.11692968425, 1196316.7085647392, 75.52898653378014, 161.51505683542268
5.5, 2021, 0.0225, 1.7835285714285714, 8.808828571428572, -1.2426714285714284e-09, 181.65571428571428, 29.050615384615384, 4815.5, 13055.404370780185, 23784.0, 0.00202361, 490470.0, 28358.967268008386, 1123165.7405535323, 72.8765672773479, 145.33858902876673
4.9, 2021, 0.0225, 1.7772571428571429, 8.2036, 6.715285714285714e-10, 180.31428571428572, 28.928653846153846, 4798.6, 13032.057324316276, 22150.0, -0.0011875, 486847.0, 25874.91752973615, 1115344.1299960413, 72.59742712480367, 144.75656400077492
5.05, 2021, 0.0225, 1.7751428571428571, 8.356914285714286, -1.5900000000000002e-10, 179.47, 28.929076923076924, 4792.9, 13025.162067240206, 22564.0, 0.0026354, 484571.0, 26485.80736414945, 1113877.711926603, 72.50381422898919, 144.6486588480742
5.2, 2021, 0.0225, 1.7765142857142857, 8.514485714285714, -3.5209999999999995e-10, 179.74, 28.958884615384616, 4796.6, 13030.340805202208, 22989.0, -0.000362498, 485298.0, 27119.429281055644, 1115639.1838096685, 72.56459711448917, 144.78215602519927
5.35, 2021, 0.0225, 1.7795571428571428, 8.666914285714286, -5.068571428571428e-10, 180.5457142857143, 29.003384615384615, 4804.8, 13041.330775628378, 23401.0, 0.00475762, 487474.0, 27749.57726045194, 1118964.6221534593, 72.69976211175295, 145.03402835533973
