Tower height, Girder height, Param. type, Girder deformation south end, Girder deformation midspan, Girder deformation north end, Cable deformation midspan, Tower deformation, Max. tension in cables, Max. tension in hangers
180, 5.5, 2020, 0.3722, 9.3115, 0.3708, 14.3524, 0.6921, 218998400.0, 904391.875
185, 5.5, 2020, 0.429, 8.6848, 0.4275, 12.9518, 0.7709, 208159664.0, 880179.75
190, 5.5, 2020, 0.4521, 8.4243, 0.4506, 12.0109, 0.8571, 194619056.0, 869140.125
195, 5.5, 2020, 0.4718, 8.3538, 0.4702, 11.3926, 0.9515, 181890448.0, 861396.8125
200, 5.5, 2020, 0.4906, 8.3417, 0.4891, 10.9268, 1.0549, 170838768.0, 854767.125
205, 5.5, 2020, 0.509, 8.3339, 0.5076, 10.5273, 1.1682, 161329072.0, 848413.875
210, 5.5, 2020, 0.5272, 8.3187, 0.5258, 10.1648, 1.2924, 153055216.0, 842100.0625
215, 5.5, 2020, 0.5452, 8.2982, 0.5438, 9.8315, 1.4286, 145769280.0, 835779.9375
220, 5.5, 2020, 0.5632, 8.2758, 0.5618, 9.5244, 1.5782, 139294880.0, 829490.9375
180, 5.75, 2020, 0.4189, 9.1966, 0.4172, 14.0467, 0.6921, 216297280.0, 893667.0
185, 5.75, 2020, 0.4418, 8.8951, 0.4402, 12.9778, 0.7709, 201969856.0, 881592.4375
190, 5.75, 2020, 0.4617, 8.7947, 0.4601, 12.2653, 0.8571, 188493280.0, 873163.1875
195, 5.75, 2020, 0.4808, 8.7569, 0.4792, 11.7241, 0.9515, 176793056.0, 865984.6875
200, 5.75, 2020, 0.4994, 8.7241, 0.4979, 11.2602, 1.0549, 166727072.0, 859141.6875
205, 5.75, 2020, 0.5179, 8.6842, 0.5164, 10.8406, 1.1682, 157971344.0, 852368.6875
210, 5.75, 2020, 0.5362, 8.6393, 0.5347, 10.4563, 1.2924, 150263744.0, 845635.875
215, 5.75, 2020, 0.5544, 8.5933, 0.553, 10.1037, 1.4286, 143417584.0, 838969.5
220, 5.75, 2020, 0.5726, 8.549, 0.5711, 9.7798, 1.5782, 137295216.0, 832361.25
180, 6.0, 2020, 0.4201, 9.208, 0.4185, 14.0575, 0.6921, 216481152.0, 896387.9375
185, 6.0, 2020, 0.4431, 8.906, 0.4415, 12.9883, 0.7709, 202147104.0, 884154.625
190, 6.0, 2020, 0.4629, 8.8055, 0.4613, 12.2757, 0.8571, 188664128.0, 875618.5
195, 6.0, 2020, 0.482, 8.7675, 0.4805, 11.7344, 0.9515, 176958032.0, 868350.5
200, 6.0, 2020, 0.5007, 8.7346, 0.4992, 11.2703, 1.0549, 166886688.0, 861422.0625
205, 6.0, 2020, 0.5192, 8.6945, 0.5177, 10.8507, 1.1682, 158126032.0, 854564.4375
210, 6.0, 2020, 0.5375, 8.6494, 0.536, 10.4662, 1.2924, 150413840.0, 847747.3125
215, 6.0, 2020, 0.5558, 8.6033, 0.5543, 10.1135, 1.4286, 143563424.0, 840994.75
220, 6.0, 2020, 0.5739, 8.5587, 0.5724, 9.7893, 1.5782, 137437136.0, 834316.5625
180, 6.25, 2020, 0.4213, 9.2193, 0.4196, 14.0684, 0.6921, 216665616.0, 898906.75
185, 6.25, 2020, 0.4443, 8.9169, 0.4426, 12.9989, 0.7709, 202324896.0, 886535.5
190, 6.25, 2020, 0.4641, 8.8162, 0.4625, 12.286, 0.8571, 188835472.0, 877906.625
195, 6.25, 2020, 0.4832, 8.7781, 0.4816, 11.7447, 0.9515, 177123488.0, 870560.75
200, 6.25, 2020, 0.5019, 8.7451, 0.5004, 11.2805, 1.0549, 167046752.0, 863558.25
205, 6.25, 2020, 0.5204, 8.7048, 0.5189, 10.8608, 1.1682, 158281136.0, 856627.0625
210, 6.25, 2020, 0.5387, 8.6596, 0.5372, 10.4762, 1.2924, 150564352.0, 849736.8125
215, 6.25, 2020, 0.557, 8.6133, 0.5555, 10.1233, 1.4286, 143709664.0, 842906.375
220, 6.25, 2020, 0.5751, 8.5686, 0.5737, 9.799, 1.5782, 137579376.0, 836152.5625
180, 6.5, 2020, 0.4226, 9.2364, 0.4209, 14.0848, 0.6921, 216945312.0, 901771.6875
185, 6.5, 2020, 0.4456, 8.9334, 0.4439, 13.0147, 0.7709, 202594320.0, 889286.4375
190, 6.5, 2020, 0.4655, 8.8324, 0.4639, 12.3017, 0.8571, 189095056.0, 880580.625
195, 6.5, 2020, 0.4846, 8.7941, 0.483, 11.7602, 0.9515, 177374080.0, 873170.1875
200, 6.5, 2020, 0.5034, 8.7609, 0.5018, 11.296, 1.0549, 167289136.0, 866106.0625
205, 6.5, 2020, 0.5219, 8.7205, 0.5203, 10.876, 1.1682, 158515952.0, 859113.8125
210, 6.5, 2020, 0.5402, 8.6751, 0.5387, 10.4913, 1.2924, 150792160.0, 852162.875
215, 6.5, 2020, 0.5585, 8.6286, 0.557, 10.1382, 1.4286, 143930960.0, 845281.0625
220, 6.5, 2020, 0.5767, 8.5836, 0.5752, 9.8137, 1.5782, 137794592.0, 838459.375
180, 6.75, 2020, 0.4237, 9.2535, 0.422, 14.1012, 0.6921, 217226016.0, 904316.375
185, 6.75, 2020, 0.4468, 8.9499, 0.4451, 13.0306, 0.7709, 202864656.0, 891749.8125
190, 6.75, 2020, 0.4667, 8.8486, 0.4651, 12.3174, 0.8571, 189355504.0, 882992.9375
195, 6.75, 2020, 0.4859, 8.8102, 0.4843, 11.7758, 0.9515, 177625472.0, 875531.875
200, 6.75, 2020, 0.5047, 8.7768, 0.5031, 11.3114, 1.0549, 167532272.0, 868423.5625
205, 6.75, 2020, 0.5232, 8.7362, 0.5216, 10.8913, 1.1682, 158751488.0, 861387.4375
210, 6.75, 2020, 0.5416, 8.6906, 0.5401, 10.5065, 1.2924, 151020624.0, 854393.0
